total,comarca,poblacion
5084.4017797552515,santanderurbano,santa maria de cayon g.c.
4842.539488320297,santanderurbano,santa maria de cayon g.c.
4600.677196885401,santanderurbano,santa maria de cayon g.c.
4358.8149054504465,santanderurbano,santa maria de cayon g.c.
4116.95261401555,santanderurbano,santa maria de cayon g.c.
3875.090322580596,santanderurbano,santa maria de cayon g.c.
3633.2280311457,santanderurbano,santa maria de cayon g.c.
3391.3657397107454,santanderurbano,santa maria de cayon g.c.
8662.51796593587,pasypisuena,san martin de villafufre
8490.696146662522,pasypisuena,san martin de villafufre
8318.874327389174,pasypisuena,san martin de villafufre
8147.052508115827,pasypisuena,san martin de villafufre
7975.230688842479,pasypisuena,san martin de villafufre
7803.408869569073,pasypisuena,san martin de villafufre
7631.587050295726,pasypisuena,san martin de villafufre
7459.765231022378,pasypisuena,san martin de villafufre
7287.943411749031,pasypisuena,san martin de villafufre
7116.121592475683,pasypisuena,san martin de villafufre
15462.823645320197,comarcaeste,bareyo
15554.003940886672,comarcaeste,bareyo
15645.184236453177,comarcaeste,bareyo
15736.364532019681,comarcaeste,bareyo
15827.544827586185,comarcaeste,bareyo
15918.72512315269,comarcaeste,bareyo
16009.905418719194,comarcaeste,bareyo
16101.085714285698,comarcaeste,bareyo
16192.266009852203,comarcaeste,bareyo
16283.446305418707,comarcaeste,bareyo
-7850.7979710145155,vallenansa,polaciones-la laguna
-8365.14623188402,vallenansa,polaciones-la laguna
-8879.494492753642,vallenansa,polaciones-la laguna
-9393.842753623147,vallenansa,polaciones-la laguna
-9908.191014492768,vallenansa,polaciones-la laguna
-10422.539275362273,vallenansa,polaciones-la laguna
-10936.887536231894,vallenansa,polaciones-la laguna
-11451.235797101399,vallenansa,polaciones-la laguna
-11965.58405797102,vallenansa,polaciones-la laguna
-12479.932318840525,vallenansa,polaciones-la laguna
4571.46707317073,comarcaeste,onton
4442.49221388367,comarcaeste,onton
4313.517354596639,comarcaeste,onton
4184.542495309579,comarcaeste,onton
4055.567636022519,comarcaeste,onton
3926.5927767354588,comarcaeste,onton
3797.6179174483987,comarcaeste,onton
3668.6430581613677,comarcaeste,onton
3539.6681988743076,comarcaeste,onton
3410.6933395872475,comarcaeste,onton
3191.8191304348293,vallenansa,camijanes
2956.7069565217826,vallenansa,camijanes
2721.594782608736,vallenansa,camijanes
2486.482608695689,vallenansa,camijanes
2251.3704347826424,vallenansa,camijanes
2016.2582608695957,vallenansa,camijanes
1781.146086956549,vallenansa,camijanes
1546.0339130435023,vallenansa,camijanes
1310.9217391304555,vallenansa,camijanes
1075.8095652174088,vallenansa,camijanes
11474.829051691835,torrelavega,cuevas de altamira
11437.926286053174,torrelavega,cuevas de altamira
11401.023520414528,torrelavega,cuevas de altamira
11364.120754775868,torrelavega,cuevas de altamira
11327.217989137207,torrelavega,cuevas de altamira
11290.315223498561,torrelavega,cuevas de altamira
11253.4124578599,torrelavega,cuevas de altamira
11216.50969222124,torrelavega,cuevas de altamira
11179.606926582579,torrelavega,cuevas de altamira
11142.704160943933,torrelavega,cuevas de altamira
6520.566951566958,vallebesaysaja,los corrales de buelna
6383.096866096836,vallebesaysaja,los corrales de buelna
6245.6267806267715,vallebesaysaja,los corrales de buelna
6108.156695156707,vallebesaysaja,los corrales de buelna
5970.686609686585,vallebesaysaja,los corrales de buelna
5833.216524216521,vallebesaysaja,los corrales de buelna
5695.746438746457,vallebesaysaja,los corrales de buelna
5558.276353276335,vallebesaysaja,los corrales de buelna
5420.806267806271,vallebesaysaja,los corrales de buelna
5283.336182336207,vallebesaysaja,los corrales de buelna
7731.296536796552,santanderurbano,viono g.c.
7613.27705627706,santanderurbano,viono g.c.
7495.257575757598,santanderurbano,viono g.c.
7377.238095238106,santanderurbano,viono g.c.
7259.218614718615,santanderurbano,viono g.c.
7141.1991341991525,santanderurbano,viono g.c.
7023.179653679661,santanderurbano,viono g.c.
6905.160173160199,santanderurbano,viono g.c.
6787.140692640707,santanderurbano,viono g.c.
6669.121212121216,santanderurbano,viono g.c.
-4471.939275362296,vallenansa,la lastra - pena de bejo
-4831.015797101427,vallenansa,la lastra - pena de bejo
-5190.092318840558,vallenansa,la lastra - pena de bejo
-5549.168840579689,vallenansa,la lastra - pena de bejo
-5908.245362318819,vallenansa,la lastra - pena de bejo
-6267.32188405795,vallenansa,la lastra - pena de bejo
-6626.398405797081,vallenansa,la lastra - pena de bejo
-6985.474927536212,vallenansa,la lastra - pena de bejo
-7344.551449275343,vallenansa,la lastra - pena de bejo
-7703.627971014474,vallenansa,la lastra - pena de bejo
18272.57258064518,vallebesaysaja,ruente
18389.342741935485,vallebesaysaja,ruente
18506.112903225818,vallebesaysaja,ruente
18622.88306451615,vallebesaysaja,ruente
18739.653225806454,vallebesaysaja,ruente
18856.423387096787,vallebesaysaja,ruente
18973.19354838709,vallebesaysaja,ruente
19089.963709677424,vallebesaysaja,ruente
19206.733870967757,vallebesaysaja,ruente
19323.50403225806,vallebesaysaja,ruente
15266.241935483878,vallebesaysaja,teran
15382.298387096758,vallebesaysaja,teran
15498.354838709667,vallebesaysaja,teran
15614.411290322576,vallebesaysaja,teran
15730.467741935485,vallebesaysaja,teran
15846.524193548394,vallebesaysaja,teran
15962.580645161273,vallebesaysaja,teran
16078.637096774182,vallebesaysaja,teran
16194.693548387091,vallebesaysaja,teran
16310.75,vallebesaysaja,teran
17310.401527883863,comarcaeste,udalla
17442.195874713507,comarcaeste,udalla
17573.99022154315,comarcaeste,udalla
17705.784568372794,comarcaeste,udalla
17837.578915202437,comarcaeste,udalla
17969.37326203208,comarcaeste,udalla
18101.167608861724,comarcaeste,udalla
18232.961955691368,comarcaeste,udalla
18364.75630252101,comarcaeste,udalla
18496.550649350655,comarcaeste,udalla
15799.7818181818,santanderurbano,zurita
16044.072727272694,santanderurbano,zurita
16288.363636363589,santanderurbano,zurita
16532.65454545454,santanderurbano,zurita
16776.945454545435,santanderurbano,zurita
17021.23636363633,santanderurbano,zurita
17265.527272727224,santanderurbano,zurita
17509.818181818177,santanderurbano,zurita
17754.10909090907,santanderurbano,zurita
17998.399999999965,santanderurbano,zurita
12829.184388961905,comarcaeste,santona-penal
12922.723206307506,comarcaeste,santona-penal
13016.262023653107,comarcaeste,santona-penal
13109.80084099868,comarcaeste,santona-penal
13203.33965834428,comarcaeste,santona-penal
13296.878475689882,comarcaeste,santona-penal
13390.417293035483,comarcaeste,santona-penal
13483.956110381085,comarcaeste,santona-penal
13577.494927726686,comarcaeste,santona-penal
13671.033745072287,comarcaeste,santona-penal
6904.50209675575,vallebesaysaja,molledo de portolin
6815.182961000362,vallebesaysaja,molledo de portolin
6725.8638252449455,vallebesaysaja,molledo de portolin
6636.544689489558,vallebesaysaja,molledo de portolin
6547.225553734141,vallebesaysaja,molledo de portolin
6457.906417978724,vallebesaysaja,molledo de portolin
6368.587282223336,vallebesaysaja,molledo de portolin
6279.268146467919,vallebesaysaja,molledo de portolin
6189.949010712531,vallebesaysaja,molledo de portolin
6100.629874957114,vallebesaysaja,molledo de portolin
6631.350045248866,liebana,tama
6614.900361990949,liebana,tama
6598.450678733032,liebana,tama
6582.000995475108,liebana,tama
6565.551312217191,liebana,tama
6549.1016289592735,liebana,tama
6532.651945701356,liebana,tama
6516.202262443432,liebana,tama
6499.752579185515,liebana,tama
6483.302895927598,liebana,tama
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
9966.0,liebana,caseton de andara
36102.0,vallebesaysaja,saja-naturea
42794.0,vallebesaysaja,saja-naturea
49486.0,vallebesaysaja,saja-naturea
56178.0,vallebesaysaja,saja-naturea
62870.0,vallebesaysaja,saja-naturea
69562.0,vallebesaysaja,saja-naturea
76254.0,vallebesaysaja,saja-naturea
82946.0,vallebesaysaja,saja-naturea
89638.0,vallebesaysaja,saja-naturea
96330.0,vallebesaysaja,saja-naturea
6383.0,comarcaeste,castro urdiales-edar
5019.0,comarcaeste,castro urdiales-edar
3655.0,comarcaeste,castro urdiales-edar
2291.0,comarcaeste,castro urdiales-edar
927.0,comarcaeste,castro urdiales-edar
-437.0,comarcaeste,castro urdiales-edar
-1801.0,comarcaeste,castro urdiales-edar
-3165.0,comarcaeste,castro urdiales-edar
-4529.0,comarcaeste,castro urdiales-edar
-5893.0,comarcaeste,castro urdiales-edar
9400.23585115865,comarcaeste,coterillo de ampuero
9277.74821746882,comarcaeste,coterillo de ampuero
9155.260583778989,comarcaeste,coterillo de ampuero
9032.772950089158,comarcaeste,coterillo de ampuero
8910.285316399299,comarcaeste,coterillo de ampuero
8787.797682709468,comarcaeste,coterillo de ampuero
8665.310049019638,comarcaeste,coterillo de ampuero
8542.822415329778,comarcaeste,coterillo de ampuero
8420.334781639947,comarcaeste,coterillo de ampuero
8297.847147950117,comarcaeste,coterillo de ampuero
9372.800000000047,liebana,collado las llaves-penarrubia
8998.20000000007,liebana,collado las llaves-penarrubia
8623.599999999977,liebana,collado las llaves-penarrubia
8249.0,liebana,collado las llaves-penarrubia
7874.400000000023,liebana,collado las llaves-penarrubia
7499.800000000047,liebana,collado las llaves-penarrubia
7125.20000000007,liebana,collado las llaves-penarrubia
6750.599999999977,liebana,collado las llaves-penarrubia
6376.0,liebana,collado las llaves-penarrubia
6001.400000000023,liebana,collado las llaves-penarrubia
8419.343970415357,torrelavega,viernoles
8348.886265673966,torrelavega,viernoles
8278.428560932603,torrelavega,viernoles
8207.970856191212,torrelavega,viernoles
8137.51315144985,torrelavega,viernoles
8067.0554467084585,torrelavega,viernoles
7996.597741967096,torrelavega,viernoles
7926.140037225705,torrelavega,viernoles
7855.6823324843135,torrelavega,viernoles
7785.224627742951,torrelavega,viernoles
8166.0490664350855,liebana,valdeprado-pesaguero
8158.456578376032,liebana,valdeprado-pesaguero
